project_category,item_number,item_description,unit,labor_cost,material_cost,subcontract_cost,total_cost,specification
"Living room, dining room, and corridor floor tile laying",1、,"Living room, dining room, and corridor floor tile laying",M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Main and secondary bedroom and study floor base layer,2、,Main and secondary bedroom and study floor base layer,M2,30.0,13.0,17.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Kitchen floor tile installation,3、,Kitchen floor tile installation,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Entryway garden balcony floor tile installation,4、,Entryway garden balcony floor tile installation,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Living balcony floor tile installation,5、,Living balcony floor tile installation,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Main bathroom floor tile installation,6、,Main bathroom floor tile installation,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Secondary bathroom floor tile installation,7、,Secondary bathroom floor tile installation,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
"Water, electricity, and circuit renovation and installation",1、,"Water, electricity, and circuit renovation and installation",M2,35.0,20.0,5.0,0.0,nan
"Kitchen, Balcony, and Bathroom Waterproofing",2、,"Kitchen, Balcony, and Bathroom Waterproofing",M2,30.0,0.0,0.0,0.0,Dego waterproofing materials
Demolition and Chiseling,3、,Demolition and Chiseling,item,800.0,0.0,0.0,0.0,"Demolish the partition between the entrance garden and dining area, the partition wall of the secondary bathroom, etc."
Wall sealing and repair renovation,4、,Wall sealing and repair renovation,item,1800.0,0.0,0.0,0.0,"Enclosed entrance garden balcony pillars and upper edges, pipeline wrapping for main and secondary bathrooms, smoothing the base of the pavilion, and bathroom backfilling"
Material transportation and handling fees,5、,Material transportation and handling fees,M2,8.0,0.0,0.0,0.0,nan
Garbage and debris removal and transportation fee,6、,Garbage and debris removal and transportation fee,M2,10.0,0.0,0.0,0.0,nan
Daily Site Hygiene Fee,7、,Daily Site Hygiene Fee,M2,4.0,0.0,0.0,0.0,nan
Cabinets,1、,Cabinets,m,1500.0,,,0.0,"Solid wood panel, granite countertop and water guard rail"
Lighting Fixtures and Switches and Outlets,2、,Lighting Fixtures and Switches and Outlets,item,3000.0,,,3000.0,"Estimated, subject to actual conditions"
Toilet bowl,3、,Toilet bowl,individual,800.0,,,0.0,"Estimated, subject to actual conditions"
Sink,4、,Sink,individual,450.0,,,0.0,"Matte stainless steel sink, double basin"
Showerhead,5、,Showerhead,individual,400.0,,,0.0,Shanghai-made Kristin
Other hardware and hangers,6、,Other hardware and hangers,item,2000.0,,,0.0,"Washing machine faucet, angle valve, floor drain, flexible hose, sink faucet, towel rod, bath towel rack, paper holder, etc."
Passageway Storage Cabinet,7、,Passageway Storage Cabinet,M,800.0,,,0.0,nan
Entry Door Frame,8、,Entry Door Frame,Set,600.0,,,0.0,nan
Master bedroom door and frame,9、,Master bedroom door and frame,Set,1360.0,,,0.0,nan
Bedroom Door and Frame,10、,Bedroom Door and Frame,Set,1360.0,,,0.0,nan
Study door and frame,11、,Study door and frame,Set,1360.0,,,0.0,nan
Closet Door and Frame,12、,Closet Door and Frame,Set,1360.0,,,0.0,nan
Kitchen Door and Frame,13、,Kitchen Door and Frame,Set,1360.0,,,0.0,nan
Main bathroom door and frame,14、,Main bathroom door and frame,Set,1360.0,,,0.0,nan
Secondary bathroom door and frame,15、,Secondary bathroom door and frame,Set,1360.0,,,0.0,nan
Entrance Garden Balcony Door Frame,16、,Entrance Garden Balcony Door Frame,M,90.0,,,0.0,nan
Window Sill Trim,17、,Window Sill Trim,M,80.0,,,0.0,nan
Window Sill Marble Top Panel,18、,Window Sill Marble Top Panel,M,120.0,,,0.0,nan
Window seat marble slab,19、,Window seat marble slab,M2,220.0,,,0.0,nan
Balustrade of Marble for Pavilion,20、,Balustrade of Marble for Pavilion,M,160.0,,,0.0,nan
"Living room, dining room, and corridor floor tiles",21、,"Living room, dining room, and corridor floor tiles",M2,60.0,,,0.0,Guangdong brick 800X800
Kitchen and living balcony floor tiles,22、,Kitchen and living balcony floor tiles,M2,60.0,,,0.0,Guangdong brick 330X330
Kitchen and living room balcony wall tiles,23、,Kitchen and living room balcony wall tiles,M2,60.0,,,0.0,Guangdong brick 330X450
Garden Balcony Floor Tiles,24、,Garden Balcony Floor Tiles,M2,60.0,,,0.0,Guangdong brick 330X330
Main bathroom floor tiles,25、,Main bathroom floor tiles,M2,60.0,,,0.0,nan
Main bathroom wall tiles,26、,Main bathroom wall tiles,M2,60.0,,,0.0,nan
Secondary bathroom floor tiles,27、,Secondary bathroom floor tiles,M2,60.0,,,0.0,nan
Secondary bathroom wall tiles,28、,Secondary bathroom wall tiles,M2,60.0,,,0.0,nan
