section_id,section_name,step_number,item_name,step_description,unit_price,discount_rate,discounted_price,quantity,unit
6,Basic building materials,,Lines,"wood strips, gypsum strips",100.0,1.0,100.0,10.0,
6,Basic building materials,,Other woods,Balcony Wall Cabinet - Wooden Frame,100.0,1.0,100.0,1.0,
6,Basic building materials,,Drainage outlet,"Odor-proof floor drain - Bathroom 2, Kitchen 1",100.0,1.0,100.0,3.0,
7,Tiles,11.0,Tiles,"Tile laying, threshold stone, window sill installation, floor drain",,,,,
7,Tiles,,Kitchen Wall Tiles,7.63×2.5=19.05M2,50.0,0.97,48.5,19.05,
7,Tiles,,Kitchen floor tiles,2.2*3=6.6M2  (300*300),50.0,0.97,48.5,6.6,
7,Tiles,,Bathroom Wall Tiles,Main bathroom 20 + guest bathroom 24 = 48M2 (250*350),50.0,0.97,48.5,48.0,
7,Tiles,,Bathroom floor tiles,Main bathroom 3.64 + guest bathroom 4.11 = 8M2,50.0,0.97,48.5,8.0,
7,Tiles,,Balcony Wall Tiles,1.4*3=4M2,50.0,0.97,48.5,4.0,
7,Tiles,,Balcony floor tiles,1.2*7.2=8.64M2,50.0,0.97,48.5,8.64,
8,Range hood,12.0,Range hood,Install range hood 13 Cabinet second measurement,,,,,
8,Range hood,,Range Hood,,3000.0,1.0,3000.0,1.0,
8,Range hood,,Stove,,2000.0,1.0,2000.0,1.0,
9,Paint,,Latex Primer Paint,,100.0,1.0,100.0,2.0,
9,Paint,,Latex paint finish,,100.0,1.0,100.0,8.0,
9,Paint,,Color-adjusting paint,,100.0,1.0,100.0,1.0,
9,Paint,,Wood finish paint,,100.0,1.0,100.0,1.0,
9,Paint,,Adhesive,,100.0,1.0,100.0,1.0,
9,Paint,,Paint Accessories,,100.0,1.0,100.0,1.0,
9,Paint,,Painting tools,,100.0,1.0,100.0,1.0,
10,Ceiling suspension,15.0,Ceiling suspension,"Kitchen and bathroom suspended ceiling, 16 Gas connection",,,,,
10,Ceiling suspension,,PVC ceiling,"Kitchen, two bathrooms",100.0,1.0,100.0,15.0,
10,Ceiling suspension,,Lighting Fixtures,,100.0,0.97,97.0,3.0,
10,Ceiling suspension,,Exhaust Fan,,100.0,0.97,97.0,1.0,
10,Ceiling suspension,,Warming Light,,100.0,0.97,97.0,2.0,
11,Flooring (95M2),,Flooring (95M2),"Installation 17 kitchen cabinets, 18 wooden doors, 19 flooring",,,,,
11,Flooring (95M2),,Living room floor,,100.0,1.0,100.0,42.61,
11,Flooring (95M2),,Master bedroom floor,,100.0,1.0,100.0,28.63,
11,Flooring (95M2),,Study Room Floor,,100.0,1.0,100.0,10.26,
11,Flooring (95M2),,Secondary bedroom floor,,100.0,1.0,100.0,14.04,
11,Flooring (95M2),,Flooring Accessories,Baseboard,100.0,1.0,100.0,63.0,
12,Lighting Fixtures,,Ceiling-mounted light,Bedroom 3,100.0,1.0,100.0,3.0,
12,Lighting Fixtures,,Ceiling-mounted light,Balcony 2 Octagon 1,100.0,1.0,100.0,3.0,
12,Lighting Fixtures,,Chandelier,Living Room 1,100.0,1.0,100.0,1.0,
12,Lighting Fixtures,,Floor lamp,Living Room 1,100.0,1.0,100.0,1.0,
12,Lighting Fixtures,,Dining Room Light,Dining Room 1 (Also Entrance Hall),100.0,1.0,100.0,1.0,
12,Lighting Fixtures,,Hallway light,Corridor 2,100.0,1.0,100.0,2.0,
12,Lighting Fixtures,,Table Lamp,Table Lamp 3,100.0,1.0,100.0,3.0,
13,Hardware,,Conventional Fasteners,,100.0,1.0,100.0,1.0,
13,Hardware,,Home Hardware,Tools,100.0,1.0,100.0,1.0,
13,Hardware,,Door-related hardware,(Lock),100.0,1.0,100.0,5.0,
13,Hardware,,Lock,"(Security lock, replaced after renovation)",100.0,1.0,100.0,1.0,
13,Hardware,,Safety supplies,,100.0,1.0,100.0,1.0,
14,Bathroom and Sanitary Ware,23.0,Bathroom and Sanitary Ware,Bathroom Fixtures,,,,,
14,Bathroom and Sanitary Ware,,Showerhead,,100.0,1.0,100.0,1.0,
14,Toilet seat,,Toilet seat,,100.0,1.0,100.0,2.0,
14,Toilet seat,,Bathtub,1500×750,100.0,1.0,100.0,1.0,
14,Toilet seat,,Column Basin,,100.0,1.0,100.0,1.0,
14,Toilet seat,,Towel Bar,,100.0,1.0,100.0,1.0,
14,Hand Basin,,Hand Basin,,100.0,1.0,100.0,1.0,
14,Hand Basin,,Bathroom cabinet,,100.0,1.0,100.0,1.0,
14,Hand Basin,,Towel Bar,,100.0,1.0,100.0,1.0,
14,Hand Basin,,Mirror,,100.0,1.0,100.0,1.0,
14,Hand Basin,,Hand Basin,,100.0,1.0,100.0,1.0,
14,Hand Basin,,Bathroom Accessories,PUSH drain water,100.0,1.0,100.0,1.0,
14,Hand Basin,,Drain Valve,,100.0,1.0,100.0,2.0,
14,Hand Basin,,Toilet paper box,,100.0,1.0,100.0,2.0,
15,Curtains,,Curtains,,100.0,1.0,100.0,1.0,
15,Curtains,,Blinds,,100.0,1.0,100.0,1.0,
15,Curtains,,Window track,,100.0,1.0,100.0,1.0,
15,Curtains,,Window rod,,100.0,1.0,100.0,4.0,
16,Furniture,25.0,Furniture,Desert Cleaning 26 Furniture Delivery,,,,,
16,Four-door wardrobe,,Four-door wardrobe,,1000.0,0.85,850.0,2.0,
16,Four-door wardrobe,,Three-Door Bookcase,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Double Bed 1.8 meters,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Single bed 1.2 meters,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Bedside table,,1000.0,0.85,850.0,2.0,
16,Four-door wardrobe,,Vanity + Dressing Chair,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,TV low cabinet,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Writing desk,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Bookcase and Desk,,1000.0,0.85,850.0,0.0,
16,Four-door wardrobe,,Three-person sofa,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Double sofa bed,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Single-person sofa,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Long coffee table,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Square Coffee Table,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Cabinet Partition,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,TV cabinet,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Dining table,,1000.0,0.85,850.0,1.0,
16,Four-door wardrobe,,Dining chair,,1000.0,0.85,850.0,4.0,
16,Four-door wardrobe,,Garden furniture,,100.0,0.85,85.0,1.0,
16,Four-door wardrobe,,Armchair with Swivel,,100.0,0.85,85.0,2.0,
16,CD rack,,CD rack,,100.0,1.0,100.0,1.0,
16,CD rack,,Clothes rack,,100.0,1.0,100.0,1.0,
16,CD rack,,Clothes rack,,100.0,1.0,100.0,1.0,
17,Refrigerator,,Refrigerator,,100.0,1.0,100.0,1.0,
17,Refrigerator,,Microwave oven,,100.0,1.0,100.0,1.0,
17,Refrigerator,,Disinfection machine,,100.0,1.0,100.0,1.0,
17,Refrigerator,,TV,,100.0,1.0,100.0,1.0,
17,Refrigerator,,Air conditioning,,100.0,1.0,100.0,1.0,
17,Refrigerator,,Wireless HUB,,100.0,1.0,100.0,1.0,
17,Water heater,,Water heater,,100.0,1.0,100.0,1.0,
17,Water heater,,Bath heater,,100.0,1.0,100.0,1.0,
18,Decorations,,Wallpaper and Baseboard,,100.0,1.0,100.0,1.0,
18,Decorations,,Carpet,,100.0,1.0,100.0,1.0,
18,Decorations,,Painting,,100.0,1.0,100.0,1.0,
18,Decorations,,Decorations,,100.0,1.0,100.0,1.0,
19,Green plants,,Plant,,100.0,1.0,100.0,5.0,
19,Green plants,,Gardening,,100.0,1.0,100.0,1.0,
20,Other,,Trash can,Bathroom 2 Kitchen 1 Living Room 1 Bedroom 3,100.0,1.0,100.0,7.0,
